"species"	"thorax"	"thor_vol"	"onum"	"egg_vol"	"major"	"minor"	"prop"	"dors"	"tf_num"	"tfc_tf"	"total_tfc"	"group"	"reg"	"reg2"	"reg3"
"Drosophila_adiastola"	2.41	13.997521	45.92	0.0227	NA	NA	0.001621715731	NA	NA	NA	NA	"pna"	"Bark"	"Bark"	"Bark"
"Drosophila_adunca"	2.8525	23.28384175	10.75	0.196438363325	0.831666666666667	0.240555555566667	0.00855928936125	1.45666666666667	NA	NA	NA	"amc"	"Leaf"	"gen"	"gen"
"Drosophila_anomalipes"	2.11666666666667	12.3672356666667	34.3333333333333	0.02782621737	0.2725	0.055125	NA	3.9	NA	NA	NA	"pna"	"Bark"	"Bark"	"Bark"
"Drosophila_atroscutellata"	1.3	2.197	18	0.0254530328	0.41655	0.12075	0.01158535858	0.98	NA	NA	NA	"amc"	"Leaf"	"gen"	"gen"
"Drosophila_clavisetae"	2.71	19.902511	38.17	0.0498	NA	NA	0.002502196833	NA	NA	NA	NA	"pna"	"Bark"	"Bark"	"Bark"
"Drosophila_comatifemora"	1.77	5.545233	43	0.013502	0.3225	0.1	0.002434884161	0.45	NA	NA	NA	"mouth"	"Bark"	"Bark"	"Bark"
"Drosophila_cracens"	1.26	2.000376	13	0.04680316534	0.41	0.165	0.023397184	0.57	NA	NA	NA	"amc"	"Leaf"	"gen"	"gen"
"Drosophila_crucigera"	2.18	10.413206	38.5	0.01544	0.3994	0.0852	0.001544171656	1.52	NA	NA	NA	"pna"	"Generalist"	"gen"	"gen"
"Drosophila_diamphidiopoda"	2.32	12.498304	18.72	0.0571	0.5578	0.1682	0.0045429145485	1.12	NA	NA	NA	"amc"	"Leaf"	"gen"	"gen"
"Drosophila_dissita"	1.38	2.628072	13	0.02732868138	0.4095714286	0.1261428571	0.01039875672	0.76	NA	NA	NA	"mouth"	"Bark"	"Bark"	"Bark"
"Drosophila_engyochraecae"	2.48	15.252992	59.73	0.0241	NA	NA	0.001580017875	NA	NA	NA	NA	"pna"	"Bark"	"Bark"	"Bark"
"Drosophila_flavibasis"	1.09	1.295029	9	0.0151976	0.3	0.11	0.01173533566	NA	NA	NA	NA	"mouth"	"Leaf"	"gen"	"gen"
