"species"	"species2"	"author"	"group"	"thorax"	"thor_vol"	"onum"	"egg_vol"	"major"	"minor"	"prop"	"dors"	"tf_num"	"tfc_tf"	"total_tfc"
"Drosophila_adiastola"	"Drosophila_adiastola"	"Kamb"	"pna"	2.41	13.997521	45.92	0.0227	NA	NA	0.001621715731	NA	NA	NA	NA
"Drosophila_adunca"	"Drosophila_adunca"	"Kamb"	"amc"	2.94	25.412184	11	0.1784	NA	NA	0.007020254536	NA	NA	NA	NA
"Drosophila_adunca"	"Drosophila_adunca"	"Sari"	"amc"	2.77	21.253933	10	0.19167188	0.825	0.235	0.00901818407	1.74	NA	NA	NA
"Drosophila_adunca"	"Drosophila_adunca"	"Sari"	"amc"	2.95	25.672375	12	0.1959066933	0.81	0.24	0.007631031149	1.33	NA	NA	NA
"Drosophila_adunca"	"Drosophila_adunca"	"Sari"	"amc"	2.75	20.796875	10	0.21977488	0.86	0.2466666667	0.01056768769	1.3	NA	NA	NA
"Drosophila_anomalipes"	"Drosophila_anomalipes"	"Sari"	"pna"	2.37	13.312053	39	0.02782621737	0.545	0.11025	NA	3.9	NA	NA	NA
"Drosophila_anomalipes"	"Drosophila_anomalipes"	"Sari"	"pna"	1.17	1.601613	29	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_anomalipes"	"Drosophila_anomalipes"	"Sari"	"pna"	2.81	22.188041	35	NA	0	0	NA	NA	NA	NA	NA
"Drosophila_atroscutellata"	"Drosophila_atroscutellata"	"Sari"	"amc"	1.3	2.197	18	0.0254530328	0.41655	0.12075	0.01158535858	0.98	NA	NA	NA
"Drosophila_clavisetae"	"Drosophila_clavisetae"	"Kamb"	"pna"	2.71	19.902511	38.17	0.0498	NA	NA	0.002502196833	NA	NA	NA	NA
"Drosophila_comatifemora"	"Drosophila_comatifemora"	"Sari"	"mouth"	1.77	5.545233	43	0.013502	0.3225	0.1	0.002434884161	0.45	NA	NA	NA
"Drosophila_cracens"	"Drosophila_cracens"	"Sari"	"amc"	1.26	2.000376	13	0.04680316534	0.41	0.165	0.023397184	0.57	NA	NA	NA
"Drosophila_crucigera"	"Drosophila_crucigera"	"Sari"	"pna"	2.27	11.697083	37	0.01218	0.3994	0.0852	0.00104	1.52	NA	NA	NA
"Drosophila_crucigera"	"Drosophila_crucigera"	"Kamb"	"pna"	2.09	9.129329	40	0.0187	NA	NA	0.002048343312	NA	NA	NA	NA
"Drosophila_diamphidiopoda"	"Drosophila_diamphidiopoda"	"Kamb"	"amc"	2.28	11.852352	18.44	0.048	NA	NA	0.004049829097	NA	NA	NA	NA
"Drosophila_diamphidiopoda"	"Drosophila_diamphidiopoda"	"Sari"	"amc"	2.36	13.144256	19	0.0662	0.5578	0.1682	0.005036	1.12	NA	NA	NA
"Drosophila_dissita"	"Drosophila_dissita"	"Sari"	"mouth"	1.38	2.628072	13	0.02732868138	0.4095714286	0.1261428571	0.01039875672	0.76	NA	NA	NA
"Drosophila_engyochraecae"	"Drosophila_engyochraecae"	"Kamb"	"pna"	2.48	15.252992	59.73	0.0241	NA	NA	0.001580017875	NA	NA	NA	NA
"Drosophila_fasciculisetae"	"Drosophila_fasciculisetae"	"Kamb"	"pna"	2.65	18.609625	47.22	0.0195	NA	NA	0.001047844865	NA	NA	NA	NA
"Drosophila_flavibasis"	"Drosophila_flavibasis"	"Sari"	"mouth"	1.09	1.295029	9	0.0151976	0.3	0.11	0.01173533566	NA	NA	NA	NA
"Drosophila_fungiperda"	"Drosophila_fungiperda"	"Sari"	"hale"	1.62	4.251528	20	0.01272188653	0.334	0.09535	0.002992309243	0.2	NA	NA	NA
"Drosophila_glabriapex"	"Drosophila_glabriapex"	"Sari"	"pna"	2.12	9.528128	53	0.01488660603	0.376	0.0972	0.001562385185	0.69	NA	NA	NA
"Drosophila_grimshawi"	"Drosophila_grimshawi"	"Sari"	"pna"	2.51	15.813251	NA	0.01528615637	0.422	0.0928	0.0009666675353	1.63	NA	NA	NA
"Drosophila_grimshawi"	"Drosophila_grimshawi"	"Sari"	"pna"	2.15	9.938375	47	0.01565782855	0.415	0.094925	0.001575491823	1.65	NA	NA	NA
"Drosophila_grimshawi"	"Drosophila_grimshawi"	"Sari"	"pna"	2.21	10.793861	41	0.01584	0.4388	0.0928	0.001467500832	NA	NA	NA	NA
"Drosophila_grimshawi"	"Drosophila_grimshawi"	"Sari"	"pna"	2.05	8.615125	43	0.0159	0.4343	0.0933	0.001845591329	NA	NA	NA	NA
"Drosophila_grimshawi"	"Drosophila_grimshawi"	"Sari"	"pna"	2.11	9.393931	NA	0.0165	0.442	0.094	0.001756453182	NA	NA	NA	NA
"Drosophila_grimshawi"	"Drosophila_grimshawi"	"Sari"	"pna"	2.33	12.649337	59	0.01693472022	0.3945	0.10125	0.001338783228	NA	NA	NA	NA
"Drosophila_grimshawi"	"Drosophila_grimshawi"	"Sari"	"pna"	2.12	9.528128	41	0.01713	0.0449	0.0954	0.00179783479	NA	NA	NA	NA
"Drosophila_grimshawi"	"Drosophila_grimshawi"	"Sari"	"pna"	2.25	11.390625	NA	0.01716533333	0.41	0.1	0.001506970279	1.79	NA	NA	NA
"Drosophila_grimshawi"	"Drosophila_grimshawi"	"Sari"	"pna"	2.5	15.625	44	NA	NA	NA	NA	NA	NA	NA	NA
