"species"	"reg"
"Drosophila_adiastola"	"Bark"
"Drosophila_anomalipes"	"Bark"
"Drosophila_clavisetae"	"Bark"
"Drosophila_comatifemora"	"Bark"
"Drosophila_dissita"	"Bark"
"Drosophila_engyochraecae"	"Bark"
"Drosophila_glabriapex"	"Bark"
"Drosophila_hemipeza"	"Bark"
"Drosophila_heteroneura"	"Bark"
"Drosophila_kualapa"	"Bark"
"Drosophila_melanocephala"	"Bark"
"Drosophila_micromyia"	"Bark"
"Drosophila_murphyi"	"Bark"
"Drosophila_neopicta"	"Bark"
"Drosophila_nigribasis"	"Bark"
"Drosophila_nr_residua"	"Bark"
"Drosophila_ochracea"	"Bark"
"Drosophila_papaalai"	"Bark"
"Drosophila_planitibia"	"Bark"
"Drosophila_prolaticilia"	"Bark"
"Drosophila_sejuncta"	"Bark"
"Drosophila_setosimentum"	"Bark"
"Drosophila_silvestris"	"Bark"
"Drosophila_sproati"	"Bark"
"Drosophila_villosipedis"	"Bark"
"Scaptomyza_caliginosa"	"Flower"
"Drosophila_mimica"	"Fruit"
"Drosophila_nigella"	"Fungus"
"Drosophila_crucigera"	"Generalist"
"Drosophila_grimshawi"	"Generalist"
"Drosophila_punalua"	"Generalist"
"Scaptomyza_exigua"	"Generalist"
"Scaptomyza_hackmani"	"Generalist"
"Scaptomyza_intricata"	"Generalist"
"Scaptomyza_latitergum"	"Generalist"
"Scaptomyza_protensa"	"Generalist"
"Scaptomyza_tumidula"	"Generalist"
"Drosophila_adunca"	"Leaf"
"Drosophila_ancyla"	"Leaf"
"Drosophila_atroscutellata"	"Leaf"
"Drosophila_cracens"	"Leaf"
"Drosophila_diamphidiopoda"	"Leaf"
"Drosophila_diamphipoda"	"Leaf"
"Drosophila_flavibasis"	"Leaf"
"Drosophila_kambysellisi"	"Leaf"
"Drosophila_nanella"	"Leaf"
"Drosophila_pectinitarsus"	"Leaf"
"Drosophila_percnosoma"	"Leaf"
"Drosophila_perissopoda"	"Leaf"
"Drosophila_petalopeza"	"Leaf"
"Drosophila_prodita"	"Leaf"
"Drosophila_redunca"	"Leaf"
"Drosophila_tanythrix"	"Leaf"
"Drosophila_torula"	"Leaf"
"Drosophila_tricheatosa"	"Leaf"
"Drosophila_unicula"	"Leaf"
"Drosophila_waddingtoni"	"Leaf"
"Drosophila_hawaiiensis"	"Sap"
"Drosophila_picticornis"	"Sap"
"Scaptomyza_chauliodon"	"Spider"
"Drosophila_adventitia"	"Bark"
"Drosophila_aethostoma"	NA
"Drosophila_affinidisjun"	NA
"Drosophila_ambochila"	"Bark"
"Drosophila_antecedens"	"Leaf"
"Drosophila_apicipuncta"	"Bark"
"Drosophila_apodasta"	NA
"Drosophila_aquila"	"Bark"
"Drosophila_atroscutella"	NA
"Drosophila_attenuata"	"Generalist"
"Drosophila_balioptera"	"Leaf"
"Drosophila_barbata"	"Bark"
"Drosophila_basimacula"	"Leaf"
"Drosophila_basisetae"	NA
"Drosophila_basisetosa"	"Leaf"
